Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Foundations of Software Science and Computation Structures","Lecture Notes in Computer Science","","","","10.1007/978-3-030-17127-8","Prof. Mikołaj BojańczykProf. Dr. Alex Simpson","2019","http://link.springer.com/book/10.1007/978-3-030-17127-8","Book"
"Entity-Oriented Search","The Information Retrieval Series","","","","10.1007/978-3-319-93935-3","Krisztian Balog","2018","http://link.springer.com/book/10.1007/978-3-319-93935-3","Book"
"Intelligent Human Computer Interaction","Lecture Notes in Computer Science","","","","10.1007/978-3-319-72038-8","Patrick HorainCatherine AchardMalik Mallem","2017","http://link.springer.com/book/10.1007/978-3-319-72038-8","Book"
"Anti-fragile ICT Systems","Simula SpringerBriefs on Computing","","","","10.1007/978-3-319-30070-2","Kjell Jørgen Hole","2016","http://link.springer.com/book/10.1007/978-3-319-30070-2","Book"
"Computer and Information Sciences","Communications in Computer and Information Science","","","","10.1007/978-3-319-47217-1","Tadeusz CzachórskiErol GelenbeKrzysztof GrochlaRicardo Lent","2016","http://link.springer.com/book/10.1007/978-3-319-47217-1","Book"
"Principles of Security and Trust","Lecture Notes in Computer Science","","","","10.1007/978-3-030-17138-4","Prof. Flemming NielsonDr. David Sands","2019","http://link.springer.com/book/10.1007/978-3-030-17138-4","Book"
"Tools and Algorithms for the Construction and Analysis of Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-030-17462-0","Prof. Tomáš VojnarProf. Lijun Zhang","2019","http://link.springer.com/book/10.1007/978-3-030-17462-0","Book"
"Computer Aided Verification","Lecture Notes in Computer Science","","","","10.1007/978-3-319-96145-3","Dr. Hana ChocklerGeorg Weissenbacher","2018","http://link.springer.com/book/10.1007/978-3-319-96145-3","Book"
"Programming Languages and Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-319-89884-1","Amal Ahmed","2018","http://link.springer.com/book/10.1007/978-3-319-89884-1","Book"
"Handbook on Craniofacial Superimposition","","","","","10.1007/978-3-319-11137-7","Prof. Sergio DamasProf. Oscar CordónDr. Oscar Ibáñez","2020","http://link.springer.com/book/10.1007/978-3-319-11137-7","Book"
